seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
NZ_CP051722	5153	No terminal repeats	7	11	0.9967	NA	3	10.707	NA	NA
NZ_OU016034	2947	No terminal repeats	4	11	0.9967	NA	0	5.9024	NA	NA
NZ_CP054358	5153	No terminal repeats	6	11	0.9966	NA	2	8.9888	NA	NA
NZ_CP083927	2947	No terminal repeats	5	11	0.9966	NA	0	6.65	NA	NA
NZ_CP092457	4275	No terminal repeats	4	11	0.9966	NA	2	5.8055	MOBQ	NA
NZ_LR135413	2947	No terminal repeats	4	11	0.9966	NA	0	5.9024	NA	NA
NZ_LR135242	2947	No terminal repeats	4	11	0.9966	NA	0	5.9024	NA	NA
NZ_CP016532	4245	No terminal repeats	4	11	0.9966	NA	2	5.5196	MOBP1	NA
NZ_CP076313	3372	No terminal repeats	5	11	0.9965	NA	4	7.6994	NA	NA
NZ_CP102742	4197	No terminal repeats	3	11	0.9965	NA	2	4.2904	MOBQ	NA
NZ_LR135407	2947	No terminal repeats	4	11	0.9965	NA	0	5.9024	NA	NA
NZ_CP016902	4066	No terminal repeats	6	11	0.9965	NA	2	5.8654	MOBQ	NA
NZ_CP039597	3208	No terminal repeats	3	11	0.9965	NA	1	2.745	NA	NA
NZ_CP039581	3208	No terminal repeats	3	11	0.9965	NA	1	2.745	NA	NA
NZ_CP071257	5266	No terminal repeats	5	11	0.9965	NA	1	5.7721	NA	NA
NZ_CP047008	4505	No terminal repeats	5	11	0.9965	NA	3	7.6618	NA	NA
NZ_CP091879	3967	No terminal repeats	5	11	0.9965	NA	0	7.3566	NA	NA
NZ_CP046289	4698	No terminal repeats	5	11	0.9965	NA	1	7.3301	NA	NA
NZ_CP051704	5153	No terminal repeats	5	11	0.9965	NA	2	7.2705	NA	NA
NZ_CP034096	3610	No terminal repeats	3	11	0.9965	NA	2	4.0872	MOBQ	NA
NZ_CP088001	2665	No terminal repeats	4	11	0.9965	NA	2	6.0087	MOBQ	NA
NZ_CP040670	3208	No terminal repeats	3	11	0.9965	NA	1	2.745	NA	NA
NZ_CP039584	3208	No terminal repeats	3	11	0.9965	NA	1	2.745	NA	NA
NZ_CP034824	3904	No terminal repeats	3	11	0.9965	NA	2	4.2904	MOBQ	NA
NZ_LR135418	2947	No terminal repeats	4	11	0.9965	NA	0	5.9024	NA	NA
NZ_CP077681	3895	No terminal repeats	3	11	0.9965	NA	2	4.2904	MOBQ	NA
NZ_CP062785	5091	No terminal repeats	5	11	0.9964	NA	3	7.603	MOBQ	NA
NZ_CP016386	3904	No terminal repeats	3	11	0.9964	NA	2	4.2904	MOBQ	NA
NZ_CP022067	4301	No terminal repeats	3	11	0.9964	NA	2	4.2904	MOBQ	NA
NC_013719	3910	No terminal repeats	3	11	0.9964	NA	2	4.2904	MOBQ	NA
NZ_CP031407	14018	No terminal repeats	19	11	0.9964	NA	1	26.1884	NA	NA
NZ_CP073717	3904	No terminal repeats	4	11	0.9964	NA	3	6.0087	MOBQ	NA
NZ_CP092176	3054	No terminal repeats	4	11	0.9964	NA	2	5.1293	NA	NA
NZ_CP070145	3336	No terminal repeats	5	11	0.9964	NA	1	5.7721	NA	NA
NC_015909	29936	No terminal repeats	42	11	0.9963	NA	1	58.9596	NA	NA
NZ_CP053475	2509	No terminal repeats	3	11	0.9963	NA	1	4.2191	NA	NF000153
NC_017400	15915	No terminal repeats	21	11	0.9963	NA	1	26.7999	NA	NA
NZ_CP063001	3336	No terminal repeats	5	11	0.9963	NA	1	5.7721	NA	NA
NZ_CP050767	3373	No terminal repeats	4	11	0.9963	NA	3	5.9811	NA	NA
NZ_CP077732	28639	No terminal repeats	40	11	0.9963	NA	1	57.2517	NA	NA
NZ_CP034826	3373	No terminal repeats	4	11	0.9963	NA	3	5.9811	NA	NA
NZ_CP075646	6683	No terminal repeats	3	11	0.9963	NA	0	3.834	NA	NA
NZ_CP046945	7128	No terminal repeats	11	11	0.9963	NA	7	12.7778	F_traL;F_traE;F_traK;F_traB	NA
NZ_CP058138	4618	No terminal repeats	6	11	0.9963	NA	1	6.5018	NA	NA
NZ_CP031405	19997	No terminal repeats	27	11	0.9963	NA	1	34.914	NA	NA
NZ_CP084864	3359	No terminal repeats	5	11	0.9963	NA	1	5.7721	NA	NA
NC_015904	30529	No terminal repeats	42	11	0.9963	NA	1	58.9596	NA	NA
