replicon	protein	MGE	NCBI_accession	size	seq_id
170D8_P1_1	113	PP_induced	170D8_P1_1	90188	170D8_P1_1
174J8_P1_2	102	PP_induced	174J8_P1_2	97472	174J8_P1_2
204G7_N15	60	PP_induced	204G7_N15	47450	204G7_N15
NC001901.0321	59	PP_0321	NC_001901	46375	NC_001901
NC005856.0321	110	PP_0321	NC_005856	94800	NC_005856
NC050154.0321	118	PP_0321	NC_050154	91159	NC_050154
