query	subject	qseqid	sseqid	pident	evalue	bitscore	cov_q	cov_s
204G7_N15	NC001901.0321	204G7_N15_17	NC001901.0321_00001	0.97	2.367e-103	329	1	1
204G7_N15	NC001901.0321	204G7_N15_16	NC001901.0321_00002	0.992	0	1345	1	1
204G7_N15	NC001901.0321	204G7_N15_15	NC001901.0321_00003	0.955	1.819e-35	128	1	1
204G7_N15	NC001901.0321	204G7_N15_14	NC001901.0321_00004	0.918	0	1008	1.001890359168242	1
204G7_N15	NC001901.0321	204G7_N15_13	NC001901.0321_00005	0.917	1.754e-253	778	1	1
204G7_N15	NC001901.0321	204G7_N15_12	NC001901.0321_00007	0.918	7.155e-63	209	1	1
204G7_N15	NC001901.0321	204G7_N15_11	NC001901.0321_00008	0.97	2.9199999999999996e-218	670	1	1
204G7_N15	NC001901.0321	204G7_N15_10	NC001901.0321_00009	0.784	2.0470000000000002e-57	195	1.0666666666666669	1
204G7_N15	NC001901.0321	204G7_N15_9	NC001901.0321_00010	0.88	1.5799999999999998e-67	223	1	1
204G7_N15	NC001901.0321	204G7_N15_8	NC001901.0321_00011	0.983	1.5199999999999996e-107	342	1	1
204G7_N15	NC001901.0321	204G7_N15_7	NC001901.0321_00012	0.946	1.1719999999999999e-80	261	1	1
204G7_N15	NC001901.0321	204G7_N15_6	NC001901.0321_00013	0.975	1.923e-149	466	1	1
204G7_N15	NC001901.0321	204G7_N15_5	NC001901.0321_00014	0.892	8.23e-73	239	1	1
204G7_N15	NC001901.0321	204G7_N15_3	NC001901.0321_00016	0.943	0	1506	1	1
204G7_N15	NC001901.0321	204G7_N15_2	NC001901.0321_00017	0.921	2.1539999999999998e-68	225	1	1
204G7_N15	NC001901.0321	204G7_N15_1	NC001901.0321_00018	0.943	8.859999999999998e-112	354	1	0.7091633466135459
204G7_N15	NC001901.0321	204G7_N15_60	NC001901.0321_00019	0.967	2.6819999999999996e-170	526	1	1
204G7_N15	NC001901.0321	204G7_N15_59	NC001901.0321_00020	0.958	7.100999999999999e-114	361	0.979591836734694	1
204G7_N15	NC001901.0321	204G7_N15_58	NC001901.0321_00021	0.721	0	1658	1.0016906170752324	1.116870876531574
204G7_N15	NC001901.0321	204G7_N15_57	NC001901.0321_00022	0.76	1.813e-46	161	1	1
204G7_N15	NC001901.0321	204G7_N15_56	NC001901.0321_00023	0.653	1.89e-90	295	1.0044642857142858	1
170D8_P1_1	NC001901.0321	170D8_P1_1_42	NC001901.0321_00026	0.689	1.6119999999999996e-54	186	1	1.0078125
204G7_N15	NC001901.0321	204G7_N15_48	NC001901.0321_00027	0.893	2.8589999999999996e-196	607	1	0.9912280701754386
204G7_N15	NC001901.0321	204G7_N15_47	NC001901.0321_00028	0.992	1.577e-261	798	1	1
204G7_N15	NC001901.0321	204G7_N15_46	NC001901.0321_00029	0.982	0	1249	1	1
204G7_N15	NC001901.0321	204G7_N15_45	NC001901.0321_00030	0.875	2.1739999999999994e-151	473	1.027237354085603	1
204G7_N15	NC001901.0321	204G7_N15_44	NC001901.0321_00031	0.973	1.771e-38	137	1	0.986842105263158
204G7_N15	NC001901.0321	204G7_N15_43	NC001901.0321_00032	0.907	9.281e-25	96	1	0.5625
204G7_N15	NC001901.0321	204G7_N15_41	NC001901.0321_00035	0.99	1.228e-72	237	1	1
204G7_N15	NC001901.0321	204G7_N15_40	NC001901.0321_00036	0.939	1.685e-48	166	1	1
204G7_N15	NC001901.0321	204G7_N15_39	NC001901.0321_00037	0.995	0	2641	1	1
204G7_N15	NC001901.0321	204G7_N15_38	NC001901.0321_00038	0.99	3.432e-130	408	1	1
204G7_N15	NC001901.0321	204G7_N15_37	NC001901.0321_00039	0.985	7.252e-42	146	1	1
204G7_N15	NC001901.0321	204G7_N15_36	NC001901.0321_00040	0.955	8.685999999999999e-160	496	1	1
204G7_N15	NC001901.0321	204G7_N15_35	NC001901.0321_00041	0.829	2.361e-168	524	1	1.0032894736842106
204G7_N15	NC001901.0321	204G7_N15_34	NC001901.0321_00042	0.903	1.702e-101	323	1.006060606060606	1
204G7_N15	NC001901.0321	204G7_N15_33	NC001901.0321_00043	0.931	4.665e-83	273	0.7192118226600985	0.7411167512690355
170D8_P1_1	NC001901.0321	170D8_P1_1_47	NC001901.0321_00044	0.581	2.984e-28	109	0.8865979381443299	0.8431372549019608
204G7_N15	NC001901.0321	204G7_N15_31	NC001901.0321_00047	0.898	3.6109999999999996e-60	201	1	1
204G7_N15	NC001901.0321	204G7_N15_30	NC001901.0321_00048	0.986	1.902e-40	142	1	1
204G7_N15	NC001901.0321	204G7_N15_28	NC001901.0321_00049	0.989	8.156999999999999e-55	185	1	1
204G7_N15	NC001901.0321	204G7_N15_27	NC001901.0321_00050	0.99	2.47e-62	207	1	1
204G7_N15	NC001901.0321	204G7_N15_26	NC001901.0321_00051	0.931	3.584e-40	141	1	1
204G7_N15	NC001901.0321	204G7_N15_25	NC001901.0321_00052	0.946	1.5319999999999999e-40	143	1	1
204G7_N15	NC001901.0321	204G7_N15_24	NC001901.0321_00053	0.971	7.531e-185	576	0.753315649867374	1
204G7_N15	NC001901.0321	204G7_N15_23	NC001901.0321_00054	0.97	1.43e-57	193	1	1
204G7_N15	NC001901.0321	204G7_N15_22	NC001901.0321_00055	0.96	8.563999999999999e-115	362	0.99438202247191	0.99438202247191
204G7_N15	NC001901.0321	204G7_N15_21	NC001901.0321_00056	0.906	2.8289999999999997e-95	306	1	1
204G7_N15	NC001901.0321	204G7_N15_20	NC001901.0321_00057	0.863	2.753e-33	121	0.9850746268656716	0.9850746268656716
204G7_N15	NC001901.0321	204G7_N15_19	NC001901.0321_00058	0.919	1.8869999999999998e-59	199	0.9611650485436892	0.9
174J8_P1_2	NC005856.0321	174J8_P1_2_68	NC005856.0321_00001	0.972	5.060999999999999e-44	153	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_34	NC005856.0321_00002	0.413	8.563999999999999e-65	227	0.9415204678362572	0.9387755102040816
174J8_P1_2	NC005856.0321	174J8_P1_2_69	NC005856.0321_00002	0.997	6.948999999999999e-226	692	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_70	NC005856.0321_00003	0.927	1.28e-34	125	1	0.6699029126213593
170D8_P1_1	NC005856.0321	170D8_P1_1_69	NC005856.0321_00004	0.559	2.037e-44	160	0.828125	0.8548387096774194
174J8_P1_2	NC005856.0321	174J8_P1_2_71	NC005856.0321_00004	0.956	2.588e-115	364	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_72	NC005856.0321_00005	0.981	2.175e-133	418	1	0.852
174J8_P1_2	NC005856.0321	174J8_P1_2_78	NC005856.0321_00007	0.987	1.0670000000000001e-50	172	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_20	NC005856.0321_00008	0.444	3.0860000000000003e-28	110	0.9285714285714286	0.8013698630136986
174J8_P1_2	NC005856.0321	174J8_P1_2_79	NC005856.0321_00008	0.986	4.063e-93	298	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_19	NC005856.0321_00009	0.4	0	1530	1.0395083406496928	1.050110864745011
174J8_P1_2	NC005856.0321	174J8_P1_2_80	NC005856.0321_00009	0.986	0	4451	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_12	NC005856.0321_00010	0.513	6.462999999999999e-160	514	0.9162210338680928	0.9033391915641475
174J8_P1_2	NC005856.0321	174J8_P1_2_81	NC005856.0321_00010	0.992	0	1135	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_13	NC005856.0321_00011	0.428	2.633e-66	231	0.9427710843373494	0.9233038348082596
174J8_P1_2	NC005856.0321	174J8_P1_2_82	NC005856.0321_00011	0.988	5.247e-212	652	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_83	NC005856.0321_00013	0.988	2.94e-46	160	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_84	NC005856.0321_00014	1	7.631e-127	398	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_85	NC005856.0321_00015	0.987	4.58e-103	328	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_39	NC005856.0321_00016	0.481	1.122e-70	240	0.9360902255639098	0.778125
174J8_P1_2	NC005856.0321	174J8_P1_2_86	NC005856.0321_00016	0.939	6.956999999999999e-163	506	1	0.825
174J8_P1_2	NC005856.0321	174J8_P1_2_88	NC005856.0321_00020	0.97	1.1999999999999999e-61	205	1	1.0098039215686274
174J8_P1_2	NC005856.0321	174J8_P1_2_89	NC005856.0321_00021	0.988	0	1927	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_90	NC005856.0321_00023	0.958	3.948e-68	225	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_9	NC005856.0321_00024	0.395	3.5929999999999997e-112	378	0.9612403100775194	0.970266040688576
174J8_P1_2	NC005856.0321	174J8_P1_2_91	NC005856.0321_00024	0.982	0	1220	1	1
174J8_P1_2	NC005856.0321	174J8_P1_2_92	NC005856.0321_00025	0.985	3.2239999999999995e-117	371	1	0.9852216748768472
174J8_P1_2	NC005856.0321	174J8_P1_2_93	NC005856.0321_00026	0.986	1.162e-96	308	1	1
170D8_P1_1	NC005856.0321	170D8_P1_1_6	NC005856.0321_00027	0.44	9.95e-18	79	1.0092592592592593	1
174J8_P1_2	NC005856.0321	174J8_P1_2_94	NC005856.0321_00027	1	1.536e-64	214	1	1
