V1,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,NZ_AP023328,Unassigned,Unassigned,Unassigned,941_0,Clustered,5,VC_941_0,5,0.3324,0.99999996,0.3324,0,0,0,1
1,NZ_AP023411,Unassigned,Unassigned,Unassigned,941_0,Clustered,5,VC_941_0,5,0.3324,0.99999996,0.3324,0,0,0,1
2,NZ_AP023414,Unassigned,Unassigned,Unassigned,2223_0,Clustered,5,VC_2223_0,5,1,1,1,0,0,0,1
3,NZ_CP054841,Unassigned,Unassigned,Unassigned,287_0,Clustered/Singleton,1,VC_287_0,1,0,1,0,0,0,0,1
4,NZ_CP054842,Unassigned,Unassigned,Unassigned,588_2,Clustered/Singleton,1,VC_588_2,1,0,1,0,0,0,0,1
5,NZ_CP015169,Unassigned,Unassigned,Unassigned,736_16,Clustered/Singleton,1,VC_736_16,1,0,1,0,0,0,0,1
6,NZ_CP021525,Unassigned,Unassigned,Unassigned,736_8,Clustered/Singleton,1,VC_736_8,1,0,1,0,0,0,0,1
7,NZ_CP021526,Unassigned,Unassigned,Unassigned,736_3,Clustered/Singleton,1,VC_736_3,1,0,1,0,0,0,0,1
8,NZ_CP008851,Unassigned,Unassigned,Unassigned,421_1,Clustered,82,VC_421_1,82,0.5591,1,0.5591,0,0,0,0.7964
9,NZ_CP008850,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
10,NZ_CP114382,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
11,NZ_CP114383,Unassigned,Unassigned,Unassigned,2162_0,Clustered,6,VC_2162_0,6,1,1,1,0,0,0,1
12,NZ_CP114384,Unassigned,Unassigned,Unassigned,2513_0,Clustered,2,VC_2513_0,2,1,1,1,0,0,0,1
13,NZ_CP010398,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
14,NZ_CP010399,Unassigned,Unassigned,Unassigned,439_0,Clustered,27,VC_439_0,27,0.738,1,0.738,0,0,0,1
15,NZ_AP014650,Unassigned,Unassigned,Unassigned,127_4,Clustered,18,VC_127_4,18,0.1146,1,0.1146,0,0,0,0.7386
16,NZ_CP010782,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
17,NZ_CP015484,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
18,NZ_CP015485,Unassigned,Unassigned,Unassigned,1056_0,Clustered,3,VC_1056_0,3,0.0218,0.92736512,0.0202,0,0,0,1
19,NZ_CP008707,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
20,NZ_CP008708,Unassigned,Unassigned,Unassigned,581_0,Clustered,96,VC_581_0,96,0.6884,1,0.6884,0,0,0,1
21,NZ_CP008709,Unassigned,Unassigned,Unassigned,2225_0,Clustered,5,VC_2225_0,5,1,1,1,0,0,0,1
22,NZ_CP010780,Unassigned,Unassigned,Unassigned,482_0,Clustered,83,VC_482_0,83,0.8375,1,0.8375,0,0,0,0.9665
23,NZ_CP012007,Unassigned,Unassigned,Unassigned,127_4,Clustered,18,VC_127_4,18,0.1146,1,0.1146,0,0,0,0.7386
24,NZ_CP012008,Unassigned,Unassigned,Unassigned,421_0,Clustered,54,VC_421_0,54,0.4149,1,0.4149,0,0,0,0.993
25,NZ_CP012005,Unassigned,Unassigned,Unassigned,127_2,Clustered,22,VC_127_2,22,0.2335,1,0.2335,0,0,0,0.8095
26,NZ_CP012955,Unassigned,Unassigned,Unassigned,816_0,Clustered,13,VC_816_0,13,0.2603,1,0.2603,0,0,0,1
