P-P type	Composition ID	HMM profile in composition	Composition size	Total number of profiles for P-P type
AB_1	AB_1_Composition_7	AB_pers_FQZ15_RS19295	94	94
AB_1	AB_1_Composition_7	AB_pers_AM435_RS00650	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS19020	94	94
AB_1	AB_1_Composition_7	AB_pers_ABTJ_RS19585	94	94
AB_1	AB_1_Composition_7	AB_pers_ABTJ_RS19930	94	94
AB_1	AB_1_Composition_7	AB_pers_AOT16_RS19225	94	94
AB_1	AB_1_Composition_7	AB_pers_AOT16_RS19390	94	94
AB_1	AB_1_Composition_7	AB_pers_AOT17_RS19430	94	94
AB_1	AB_1_Composition_7	AB_pers_AOT18_RS19660	94	94
AB_1	AB_1_Composition_7	AB_pers_AOT18_RS19665	94	94
AB_1	AB_1_Composition_7	AB_pers_Aba10324_RS18480	94	94
AB_1	AB_1_Composition_7	AB_pers_Aba10324_RS18670	94	94
AB_1	AB_1_Composition_7	AB_pers_B7L36_RS00085	94	94
AB_1	AB_1_Composition_7	AB_pers_B7L36_RS00600	94	94
AB_1	AB_1_Composition_7	AB_pers_BS065_RS19405	94	94
AB_1	AB_1_Composition_7	AB_pers_BS065_RS19765	94	94
AB_1	AB_1_Composition_7	AB_pers_BS065_RS19770	94	94
AB_1	AB_1_Composition_7	AB_pers_C2U32_RS19265	94	94
AB_1	AB_1_Composition_7	AB_pers_C2U32_RS19270	94	94
AB_1	AB_1_Composition_7	AB_pers_CBL09_RS20525	94	94
AB_1	AB_1_Composition_7	AB_pers_CBL09_RS20530	94	94
AB_1	AB_1_Composition_7	AB_pers_CBL09_RS20535	94	94
AB_1	AB_1_Composition_7	AB_pers_CBL09_RS20695	94	94
AB_1	AB_1_Composition_7	AB_pers_CBL09_RS20700	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS18725	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS18730	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS18735	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS18890	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS18895	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS19075	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS19235	94	94
AB_1	AB_1_Composition_7	AB_pers_EA719_RS19240	94	94
AB_1	AB_1_Composition_7	AB_pers_EG364_RS20340	94	94
AB_1	AB_1_Composition_7	AB_pers_EHF38_RS18585	94	94
AB_1	AB_1_Composition_7	AB_pers_EHF38_RS18745	94	94
AB_1	AB_1_Composition_7	AB_pers_FK728_RS18175	94	94
AB_1	AB_1_Composition_7	AB_pers_FK728_RS18345	94	94
AB_1	AB_1_Composition_7	AB_pers_FK728_RS18765	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ15_RS19135	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ15_RS19140	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ15_RS19460	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ17_RS19670	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ17_RS19675	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ17_RS19690	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ17_RS20010	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ17_RS20015	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ19_RS19470	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ19_RS19790	94	94
AB_1	AB_1_Composition_7	AB_pers_FRO58_RS19560	94	94
AB_1	AB_1_Composition_7	AB_pers_FRO58_RS19565	94	94
AB_1	AB_1_Composition_7	AB_pers_FRO58_RS19900	94	94
AB_1	AB_1_Composition_7	AB_pers_GOD87_RS17930	94	94
AB_1	AB_1_Composition_7	AB_pers_GOD87_RS18045	94	94
AB_1	AB_1_Composition_7	AB_pers_GOD87_RS18205	94	94
AB_1	AB_1_Composition_7	AB_pers_GWK28_RS18600	94	94
AB_1	AB_1_Composition_7	AB_pers_GWK28_RS18760	94	94
AB_1	AB_1_Composition_7	AB_pers_GWK28_RS18845	94	94
AB_1	AB_1_Composition_7	AB_pers_GWK28_RS18940	94	94
AB_1	AB_1_Composition_7	AB_pers_GWK28_RS18945	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS18970	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS18975	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS19165	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS19355	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS19360	94	94
AB_1	AB_1_Composition_7	AB_pers_H0S62_RS19515	94	94
AB_1	AB_1_Composition_7	AB_pers_H7R41_RS17710	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD79_RS19330	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD79_RS19670	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD79_RS19675	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD79_RS19680	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD80_RS19465	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD80_RS19480	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD80_RS19625	94	94
AB_1	AB_1_Composition_7	AB_pers_HFD80_RS19965	94	94
AB_1	AB_1_Composition_7	AB_pers_IMO23_RS18370	94	94
AB_1	AB_1_Composition_7	AB_pers_IMO23_RS18445	94	94
AB_1	AB_1_Composition_7	AB_pers_IMO23_RS18550	94	94
AB_1	AB_1_Composition_7	AB_pers_P795_RS17530	94	94
AB_1	AB_1_Composition_7	AB_pers_P795_RS17555	94	94
AB_1	AB_1_Composition_7	AB_pers_P795_RS17690	94	94
AB_1	AB_1_Composition_7	AB_pers_P795_RS17885	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS18855	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS18860	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS19025	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS19035	94	94
AB_1	AB_1_Composition_7	AB_pers_RU84_RS19040	94	94
AB_1	AB_1_Composition_7	AB_pers_SG90_RS19160	94	94
AB_1	AB_1_Composition_7	AB_pers_SG90_RS19170	94	94
AB_1	AB_1_Composition_7	AB_pers_SG90_RS19510	94	94
AB_1	AB_1_Composition_7	AB_pers_TE32_RS20100	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ15_RS19455	94	94
AB_1	AB_1_Composition_7	AB_pers_FQZ19_RS19630	94	94
AB_1	AB_1_Composition_7	AB_pers_FRO58_RS19905	94	94
