seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NZ_CP081787	6197	No terminal repeats	NA	13	11	0.9836	NA	1	21.5212	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP031197	30637	No terminal repeats	NA	52	11	0.9824	NA	9	67.8179	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP013273	25529	No terminal repeats	NA	45	11	0.9824	NA	9	68.9589	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP117204	43879	No terminal repeats	NA	65	11	0.9823	NA	11	95.197	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP084403	43698	No terminal repeats	NA	59	11	0.9823	NA	6	51.5081	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
NZ_CP077930	43105	No terminal repeats	NA	75	11	0.9818	NA	8	102.5593	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077781	42564	No terminal repeats	NA	63	11	0.9817	NA	11	80.6803	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP040811	67036	No terminal repeats	NA	123	11	0.9817	NA	14	111.2544	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081778	39448	No terminal repeats	NA	61	11	0.9817	NA	12	79.9981	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP023416|provirus_214494_257911	43418	Provirus	214494-257911	73	11	0.9815	NA	10	93.0206	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP023421|provirus_231903_237928	6026	Provirus	231903-237928	9	11	0.9815	NA	3	9.6499	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
NZ_CP095108	43992	No terminal repeats	NA	71	11	0.9814	NA	12	88.8797	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP081786	39448	No terminal repeats	NA	60	11	0.9814	NA	12	78.5667	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_AP024588	42860	No terminal repeats	NA	67	11	0.9813	NA	16	82.4372	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP077938	43569	No terminal repeats	NA	64	11	0.9812	NA	11	88.4108	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP121510	44931	No terminal repeats	NA	73	11	0.9811	NA	9	90.7028	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095258	26525	No terminal repeats	NA	32	11	0.9811	NA	18	39.7714	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP076549	37368	No terminal repeats	NA	56	11	0.9811	NA	10	79.8346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095257	37368	No terminal repeats	NA	56	11	0.9811	NA	10	79.8346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
NZ_CP095245	37368	No terminal repeats	NA	56	11	0.9811	NA	10	79.8346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
