Genome ID	P-P type	MinGenes cutoff	MinGenes hits	Signature to all genes ratio	P-P score sum	P-P type score sum	Composition	Composition size	Tolerance to gaps	Composition hits	Genome size (bp)	Number of proteins
NZ_CP010398	AB	55	90	0.776	86.4	86.4	AB_1_Composition_7	94	7	90	114848	116
NZ_CP015484	AB	55	93	0.816	89.3	89.3	AB_1_Composition_7	94	7	93	110965	114
NZ_CP010780	AB	55	91	0.812	87.3	87.3	AB_1_Composition_7	94	7	91	112157	112
NZ_CP018257	AB	55	93	0.816	89.3	89.3	AB_1_Composition_7	94	7	93	110964	114
NZ_CP016296	AB	55	93	0.816	89.3	89.3	AB_1_Composition_7	94	7	93	110968	114
NZ_CP016299	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP016301	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP020585	AB	55	94	0.81	90.3	90.3	AB_1_Composition_7	94	7	94	111999	116
NZ_CP024125	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP021327	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	112155	115
NZ_CP039519	AB	55	93	0.732	89.4	89.4	AB_1_Composition_7	94	7	93	127784	127
NZ_CP038645	AB	55	91	0.771	87.3	87.3	AB_1_Composition_7	94	7	91	116047	118
NZ_CP050905	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP050908	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP061518	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110965	115
NZ_CP061515	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP061524	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP061522	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110964	115
NZ_CP061520	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NC_020524	AB	55	94	0.817	90.3	90.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP033864	AB	55	60	0.896	57.7	57.7	NA	NA	NA	NA	68135	67
NZ_CP034093	AB	55	93	0.838	89.3	89.3	AB_1_Composition_7	94	7	92	110713	111
NZ_CP047974	AB	55	78	0.821	74.3	74.3	AB_1_Composition_30	78	7	78	103751	95
NZ_CP023025	AB	55	88	0.765	84.4	84.4	AB_1_Composition_7	94	7	89	113420	115
NZ_CP041590	AB	55	88	0.647	84.4	84.4	AB_1_Composition_7	94	7	89	145071	136
NZ_CP059387	AB	55	86	0.741	82.4	82.4	AB_1_Composition_7	94	7	87	113330	116
NC_023031	AB	55	89	0.774	85.4	85.4	AB_1_Composition_7	94	7	90	113866	115
NZ_CP062920	AB	55	89	0.781	85.5	85.5	AB_1_Composition_7	94	7	90	113139	114
NZ_CP026128	AB	55	88	0.83	84.3	84.3	AB_1_Composition_7	94	7	89	110754	106
NZ_AP022239	AB	55	92	0.773	88.3	88.3	AB_1_Composition_7	94	7	92	114365	119
NZ_CP018333	AB	55	92	0.868	88.3	88.3	AB_1_Composition_7	94	7	92	112773	106
NZ_CP046537	AB	55	87	0.77	83.5	83.5	AB_1_Composition_7	94	7	91	112007	113
NZ_CP033863	AB	55	26	1	25.4	25.4	NA	NA	NA	NA	23171	26
NZ_CP027182	AB	55	33	0.371	30.1	30.1	NA	NA	NA	NA	105127	89
NZ_CP027185	AB	55	32	0.356	29.1	29.1	NA	NA	NA	NA	105128	90
NZ_CP028569	AB	55	33	0.268	30.1	30.1	NA	NA	NA	NA	121612	123
NZ_CP028139	AB	55	30	0.242	27.4	27.4	NA	NA	NA	NA	133709	124
NZ_CP026705	AB	55	2	0.016	1.9	1.9	NA	NA	NA	NA	113706	128
NZ_CP027122	AB	55	2	0.016	1.9	1.9	NA	NA	NA	NA	113706	128
NZ_CP035046	AB	55	2	0.017	1.9	1.9	NA	NA	NA	NA	106963	121
NZ_CP027608	AB	55	2	0.017	1.9	1.9	NA	NA	NA	NA	106967	121
NZ_CP040426	AB	55	2	0.016	1.9	1.9	NA	NA	NA	NA	111449	125
NZ_CP031445	AB	55	2	0.016	1.9	1.9	NA	NA	NA	NA	112216	124
NZ_CP029570	AB	55	1	0.008	0.9	0.9	NA	NA	NA	NA	108151	123
NC_017397	cp32	18	30	0.732	28.7	24.8	cp32_Composition_1	32	6	32	30697	41
NC_011731	cp32	18	29	0.763	27.7	23.9	cp32_Composition_1	32	6	29	30330	38
NZ_CP028881	cp32	18	30	0.732	28.7	24.8	cp32_Composition_1	32	6	31	31009	41
NC_000951	cp32	18	32	0.78	30.6	26.4	cp32_Composition_1	32	6	32	29838	41
NZ_CP019847	cp32	18	32	0.744	30.6	26.4	cp32_Composition_1	32	6	32	30418	43
