V1,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
0,NZ_CP010398,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
1,NZ_CP015484,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
2,NZ_CP010780,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
3,NZ_CP035046,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
4,NZ_CP018257,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
5,NZ_CP016296,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
6,NZ_CP016299,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
7,NZ_CP016301,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
8,NZ_CP020585,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
9,NZ_CP018333,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
10,NZ_CP024125,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
11,NZ_CP026128,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
12,NZ_CP026705,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
13,NZ_CP027608,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
14,NZ_CP027122,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
15,NZ_CP029570,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
16,NZ_CP021327,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
17,NZ_CP023025,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
18,NZ_CP039342,Unassigned,Unassigned,Unassigned,152_0,Clustered,4,VC_152_0,4,0.9845,0.99455397,0.9791,0,0,0,1
19,NZ_CP039519,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
20,NZ_CP039344,Unassigned,Unassigned,Unassigned,152_0,Clustered,4,VC_152_0,4,0.9845,0.99455397,0.9791,0,0,0,1
21,NZ_CP039932,Unassigned,Unassigned,Unassigned,152_0,Clustered,4,VC_152_0,4,0.9845,0.99455397,0.9791,0,0,0,1
22,NZ_CP034093,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
23,NZ_CP031445,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
24,NZ_CP038645,Unassigned,Unassigned,Unassigned,30_0,Clustered,42,VC_30_0,42,0.863,1,0.863,0,0,0,1
25,NZ_CP040426,Unassigned,Unassigned,Unassigned,34_0,Clustered,8,VC_34_0,8,0.2498,1,0.2498,0,0,0,1
