P-P type	HMM profile ID	Protein representative ID	P-P score	P-P type score	Sequence score threshold	Neff value	geNomad hit	geNomad annotation	pident (geNomad)	evalue (geNomad)	bitscore (geNomad)	PHROGs hit	PHROGs Annotation	Protein category (PHROGs)	evalue (PHROGs)	cov_profile (PHROGs)	Rep/Par hit	evalue (Rep/Par)	cov_profile (Rep/Par)
AB_1	AB_pers_ABTJ_RS19585	ABTJ_RS19585	1	1	1877	1	GENOMAD.065723.VV	DNA-directed DNA polymerase III (polc)	0.244	2.845e-38	158	phrog_405	DNA polymerase	DNA, RNA and nucleotide metabolism	1.6e-290	0.624	NA	NA	NA
AB_1	AB_pers_ABTJ_RS19930	ABTJ_RS19930	0.941	0.941	241.5	1	GENOMAD.221585.VP	DNA-binding transcriptional regulator, PadR family	0.759	1.738e-48	168	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_AM435_RS00650	AM435_RS00650	0.907	0.907	452.3	1	NA	NA	NA	NA	NA	phrog_216	integrase	integration and excision	8.3e-60	0.645	NA	NA	NA
AB_1	AB_pers_AOT16_RS19225	AOT16_RS19225	1	1	333.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_AOT16_RS19390	AOT16_RS19390	0.914	0.914	314.6	1	NA	NA	NA	NA	NA	phrog_4583	transcriptional repressor	transcription regulation	8.7e-9	0.802	NA	NA	NA
AB_1	AB_pers_AOT17_RS19430	AOT17_RS19430	0.889	0.889	331.6	1	GENOMAD.226614.VP	Hfq protein	0.437	1.228e-8	55	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_AOT18_RS19660	AOT18_RS19660	1	1	252.8	1	GENOMAD.142618.VP	Phage-related protein	0.481	9.308e-24	97	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_AOT18_RS19665	AOT18_RS19665	1	1	4355.9	1	GENOMAD.153568.VP	Phage-related protein, tail component	0.186	4.061e-21	104	phrog_6747	tail length tape measure protein	tail	2.5e-11	0.564	NA	NA	NA
AB_1	AB_pers_Aba10324_RS18480	Aba10324_RS18480	1	1	1613.1	1.1	GENOMAD.038271.VV	protein RecA	0.254	5.666e-5	49	phrog_97	UvsX-like recombinase	other	4.399999999999999e-100	1.429	NA	NA	NA
AB_1	AB_pers_Aba10324_RS18670	Aba10324_RS18670	0.969	0.969	388	1	GENOMAD.226957.VP	NA	0.991	3.412e-113	358	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_B7L36_RS00085	B7L36_RS00085	1	1	1331.3	1	GENOMAD.168006.VP	NA	0.876	1.243e-161	519	phrog_145	portal protein	head and packaging	6.900000000000001e-124	1.002	NA	NA	NA
AB_1	AB_pers_B7L36_RS00600	B7L36_RS00600	0.939	0.939	189.6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB_1	AB_pers_BS065_RS19405	BS065_RS19405	0.941	0.941	465.6	1	GENOMAD.195594.VP	Transposase	0.303	7.485e-21	93	phrog_867	DNA binding domain	DNA, RNA and nucleotide metabolism	1.5e-90	0.909	NA	NA	NA
AB_1	AB_pers_BS065_RS19765	BS065_RS19765	1	1	790.8	1	GENOMAD.210469.VP	Recombination, repair and ssDNA binding protein UvsY	0.922	6.702e-228	700	NA	NA	NA	NA	NA	NA	NA	NA
