Genome ID	P-P type	MinGenes cutoff	MinGenes hits	Signature to all genes ratio	P-P score sum	P-P type score sum	Composition	Composition size	Tolerance to gaps	Composition hits	Genome size (bp)	Number of proteins
NZ_CP010398	AB	55	89	0.748	85.4	85.4	AB_1_Composition_7	94	7	92	114848	119
NZ_CP015484	AB	55	92	0.793	88.3	88.3	AB_1_Composition_7	94	7	94	110965	116
NZ_CP010780	AB	55	89	0.781	85.3	85.3	AB_1_Composition_7	94	7	92	112157	114
NZ_CP018257	AB	55	89	0.781	85.5	85.5	AB_1_Composition_7	94	7	93	110964	114
NZ_CP016296	AB	55	89	0.774	85.5	85.5	AB_1_Composition_7	94	7	93	110968	115
NZ_CP016299	AB	55	90	0.776	86.5	86.5	AB_1_Composition_7	94	7	94	110967	116
NZ_CP016301	AB	55	90	0.776	86.5	86.5	AB_1_Composition_7	94	7	94	110967	116
NZ_CP020585	AB	55	90	0.769	86.5	86.5	AB_1_Composition_7	94	7	94	111999	117
NZ_CP024125	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110967	116
NZ_CP021327	AB	55	91	0.778	87.4	87.4	AB_1_Composition_7	94	7	94	112155	117
NZ_CP039519	AB	55	92	0.708	88.4	88.4	AB_1_Composition_7	94	7	94	127784	130
NZ_CP038645	AB	55	90	0.756	86.4	86.4	AB_1_Composition_7	94	7	92	116047	119
NZ_CP050905	AB	55	91	0.784	87.5	87.5	AB_1_Composition_7	94	7	94	110967	116
NZ_CP050908	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110967	116
NZ_CP061518	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110965	116
NZ_CP061515	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110967	116
NZ_CP061524	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110967	116
NZ_CP061522	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110964	116
NZ_CP061520	AB	55	91	0.784	87.5	87.5	AB_1_Composition_7	94	7	94	110967	116
NZ_CP082891	AB	55	90	0.783	86.5	86.5	AB_1_Composition_7	94	7	94	110967	115
NZ_CP082888	AB	55	84	0.677	80.5	80.5	AB_1_Composition_7	94	7	93	110998	124
NZ_CP082894	AB	55	91	0.798	87.4	87.4	AB_1_Composition_7	94	7	93	110968	114
NZ_CP075322	AB	55	92	0.793	88.4	88.4	AB_1_Composition_7	94	7	94	110967	116
NZ_CP094284	AB	55	92	0.8	88.3	88.3	AB_1_Composition_7	94	7	94	110967	115
NZ_CP096685	AB	55	87	0.75	83.5	83.5	AB_1_Composition_7	94	7	92	110973	116
NZ_CP096687	AB	55	88	0.772	84.8	84.8	AB_1_Composition_7	94	7	93	110968	114
NZ_CP096697	AB	55	91	0.784	87.4	87.4	AB_1_Composition_7	94	7	94	112156	116
NZ_CP096699	AB	55	91	0.791	87.4	87.4	AB_1_Composition_7	94	7	93	110970	115
NZ_CP096701	AB	55	90	0.789	86.4	86.4	AB_1_Composition_7	94	7	93	110966	114
NZ_CP096709	AB	55	92	0.8	88.4	88.4	AB_1_Composition_7	94	7	94	110967	115
NZ_CP096711	AB	55	92	0.8	88.4	88.4	AB_1_Composition_7	94	7	94	110967	115
NZ_CP096721	AB	55	89	0.767	85.6	85.6	AB_1_Composition_7	94	7	94	112155	116
NZ_CP096723	AB	55	88	0.746	84.6	84.6	AB_1_Composition_7	94	7	94	112157	118
NZ_CP096726	AB	55	88	0.759	84.5	84.5	AB_1_Composition_7	94	7	92	110965	116
NZ_CP096728	AB	55	91	0.784	87.4	87.4	AB_1_Composition_7	94	7	93	110968	116
NZ_CP096732	AB	55	91	0.791	87.4	87.4	AB_1_Composition_7	94	7	94	110967	115
NZ_CP096737	AB	55	90	0.776	86.4	86.4	AB_1_Composition_7	94	7	93	110968	116
NZ_CP096743	AB	55	91	0.791	87.5	87.5	AB_1_Composition_7	94	7	94	110967	115
NZ_CP096746	AB	55	91	0.784	87.4	87.4	AB_1_Composition_7	94	7	94	112156	116
NZ_CP096748	AB	55	87	0.75	83.6	83.6	AB_1_Composition_7	94	7	92	112152	116
